"original_name"	"broad_type"
"submucosal secretory"	"epithelial cell"
"ec capillary"	"endothelial cell"
"lymphatic ec mature"	"endothelial cell"
"lymphatic ec differentiating"	"endothelial cell"
"fibromyocytes"	"mesenchymal cell"
"lymphatic ec proliferating"	"endothelial cell"
"activated naive b"	"B cell"
"cycling b"	"B cell"
"cycling follicular dendritic"	"stromal cell"
"cycling myeloid"	"myeloid cell"
"cycling t"	"t/nk cell"
"double negative t"	"t/nk cell"
"follicular dendritic"	"stromal cell"
"germinal center b"	"B cell"
"innate lymphoid"	"t/nk cell"
"naive cd4 t"	"t/nk cell"
"naive cd8 t"	"t/nk cell"
"plasmacytoid dendritic"	"dendritic cell"
"preb/t"	"t/nk cell"
"arterial endothelial"	"endothelial cell"
"capillary endothelial"	"endothelial cell"
"endocardial"	"endothelial cell"
"monocyte/cdc"	"myeloid cell"
"venous endothelial"	"endothelial cell"
"dc1"	"dendritic cell"
"dc2"	"dendritic cell"
"hsc"	"stem cell"
"inflammatory macrophage"	"myeloid cell"
"nk_cd56bright"	"t/nk cell"
"noninflammatory macrophage"	"myeloid cell"
"portal fibroblast"	"stromal cell"
"proliferating t/nk"	"t/nk cell"
"sinusoidal endothelial"	"endothelial cell"
"vascual central venous endothelial"	"endothelial cell"
"vascual portal endothelial"	"endothelial cell"
"fetal epithelial progenitor"	"epithelial cell"
"b cell (plasmocyte)"	"B cell"
"fasciculata cell"	"endocrine cell"
"fetal mesenchymal progenitor"	"mesenchymal cell"
"endothelial cell (apc)"	"endothelial cell"
"enterocyte progenitor"	"epithelial cell"
"fetal stromal cell"	"stromal cell"
"fetal neuron"	"neuron"
"erythroid progenitor cell (rp high)"	"erythroid cell"
"fetal enterocyte"	"epithelial cell"
"hepatocyte/endodermal cell"	"endodermal cell"
"neutrophil (rps high)"	"myeloid cell"
"antigen presenting cell (rps high)"	"antigen presenting cell"
"fetal chondrocyte"	"mesenchymal cell"
"pancreas exocrine cell"	"epithelial cell"
"m2 macrophage"	"myeloid cell"
"epithelial cell (intermediated)"	"epithelial cell"
"fetal skeletal muscle cell"	"muscle cell"
"endothelial cell (endothelial to mesenchymal transition)"	"endothelial cell"
"fetal acinar cell"	"epithelial cell"
"ventricle cardiomyocyte"	"muscle cell"
"ureteric bud cell"	"epithelial cell"
"proximal tubule progenitor"	"epithelial cell"
"gastric endocrine cell"	"endocrine cell"
"hesc"	"stem cell"
"fetal endocrine cell"	"endocrine cell"
"immature sertoli cell (pre-sertoli cell)"	"supporting cell"
"fetal neuron"	"neuron"
"adrenal gland inflammatory cell"	"immune cell"
"proliferating myocyte"	"muscle cell"
"msc (cultured)"	"stromal cell"
"mesc"	"stromal cell"
"trophoblast stem cell"	"stem cell"
"stomach epithelial cell"	"epithelial cell"
"secretory alveoli cell"	"epithelial cell"
"proliferative neuron"	"neuron"
"proximal tubule brush border cell"	"epithelial cell"
"cumulus cell"	"epithelial cell"
"urothelium"	"epithelial cell"
"trophoblast progenitor cell"	"trophoblast"
"premeiotic germ cell"	"germ cell"
"nk/t cell"	"t/nk cell"
"gastric mucosa cell"	"epithelial cell"
"kidney epithelial"	"epithelial cell"
"placenta endodermal cell"	"endodermal cell"
"spongiotrophoblast"	"trophoblast"
"intercalated cells of collecting duct"	"epithelial cell"
"principal cells of cortical collecting duct"	"epithelial cell"
"endothelial cell (lymphatic)"	"endothelial cell"
"myoepithelial (basal)"	"epithelial cell"
"epithelial cell (luminal)"	"epithelial cell"
"immune (dc/macrophage)"	"immune cell"
"pericyte/smc"	"mesenchymal cell"
"epithelial cell (squamous)"	"epithelial cell"
"epithelial cell (suprabasal)"	"epithelial cell"
"immune (b cell)"	"B cell"
"immune (dc)"	"dendritic cell"
"immune (nk cell)"	"t/nk cell"
"immune (t cell)"	"t/nk cell"
"immune (mast cell)"	"mast cell"
"epithelial cell (basal)"	"epithelial cell"
"myocyte (cardiac)"	"muscle cell"
"myocyte (cardiac, cytoplasmic)"	"muscle cell"
"epithelial cell (alveolar type i)"	"epithelial cell"
"epithelial cell (alveolar type ii)"	"epithelial cell"
"epithelial cell (ciliated)"	"epithelial cell"
"epithelial cell (club)"	"epithelial cell"
"immune (alveolar macrophage)"	"macrophage"
"epithelial cell (hillock)"	"epithelial cell"
"myocyte (smooth muscle)"	"muscle cell"
"myocyte (sk. muscle)"	"muscle cell"
"myocyte (nmj-rich)"	"muscle cell"
"myocyte (sk. muscle, cytoplasmic)"	"muscle cell"
"epithelial cell (basal keratinocyte)"	"epithelial cell"
"epithelial cell (cornified keratinocyte)"	"epithelial cell"
"epithelial cell (mature keratinocyte)"	"epithelial cell"
"epithelial cell (suprabasal keratinocyte)"	"epithelial cell"
"immune (langerhans)"	"immune cell"
"b cell_memory"	"B cell"
"myoepithelial (basal)"	"epithelial cell"
"basal epithelia"	"epithelial cell"
"interstitial cell of cajal (icc)"	"stromal cell"
"squamous epithelia"	"epithelial cell"
"ventricular myocyte"	"muscle cell"
"alveolar type i"	"epithelial cell"
"ciliated epithelial"	"epithelial cell"
"club epithelial"	"epithelial cell"
"myofiber/myocyte"	"muscle cell"
"fibroblast (papillary dermis)"	"stromal cell"
"mature keratinocyte"	"epithelial cell"
"malignant b cells"	"malignant cell"
"non-malignant b cells"	"B cell"
"gd t"	"T/NK cell"
"oligo"	"stromal cell"
"colon cancer cell"	"malignant cell"
"myeloids"	"myeloid cell"
"mast cells"	"immune cell"
"malignant cells"	"malignant cell"
"t cell"	"t/nk cell"
"myofibroblast cell"	"stromal cell"
"bladder urothelial cell"	"epithelial cell"
"pericyte cell"	"stromal cell"
"nk cell"	"t/nk cell"
"endothelial cell of lymphatic vessel"	"endothelial cell"
"vein endothelial cell"	"endothelial cell"
"b cell"	"B cell"
"cd4-positive, alpha-beta memory t cell"	"t/nk cell"
"cd8-positive, alpha-beta cytokine secreting effector t cell"	"t/nk cell"
"naive b cell"	"B cell"
"memory b cell"	"B cell"
"type i nk t cell"	"t/nk cell"
"cd141-positive myeloid dendritic cell"	"myeloid cell"
"cd8-positive, alpha-beta t cell"	"t/nk cell"
"naive thymus-derived cd4-positive, alpha-beta t cell"	"t/nk cell"
"cd4-positive, alpha-beta t cell"	"t/nk cell"
"cd24 neutrophil"	"immune cell"
"nampt neutrophil"	"myeloid cell"
"myeloid progenitor"	"progenitor cell"
"eye photoreceptor cell"	"neuronal cell"
"muller cell"	"glial cell"
"retinal blood vessel endothelial cell"	"endothelial cell"
"epithelial cell of lacrimal sac"	"epithelial cell"
"corneal keratocyte"	"stromal cell"
"limbal stromal cell"	"stromal cell"
"retinal bipolar neuron"	"neuronal cell"
"erythroid lineage cell"	"erythroid cell"
"retina horizontal cell"	"neuronal cell"
"leucocyte"	"immune cell"
"cardiac endothelial cell"	"endothelial cell"
"fibroblast of cardiac tissue"	"stromal cell"
"cd4-positive helper t cell"	"t/nk cell"
"enterocyte of epithelium of large intestine"	"epithelial cell"
"large intestine goblet cell"	"epithelial cell"
"paneth cell of epithelium of large intestine"	"epithelial cell"
"transit amplifying cell of large intestine"	"progenitor cell"
"gut endothelial cell"	"endothelial cell"
"intestinal crypt stem cell of large intestine"	"stem cell"
"intestinal enteroendocrine cell"	"epithelial cell"
"intestinal tuft cell"	"epithelial cell"
"immature enterocyte"	"epithelial cell"
"intestinal crypt stem cell"	"stem cell"
"mature enterocyte"	"epithelial cell"
"endothelial cell of hepatic sinusoid"	"endothelial cell"
"liver dendritic cell"	"immune cell"
"intrahepatic cholangiocyte"	"epithelial cell"
"type ii pneumocyte"	"epithelial cell"
"bronchial vessel endothelial cell"	"endothelial cell"
"adventitial cell"	"stromal cell"
"endothelial cell of artery"	"endothelial cell"
"lung ciliated cell"	"epithelial cell"
"respiratory goblet cell"	"epithelial cell"
"serous cell of epithelium of bronchus"	"epithelial cell"
"capillary aerocyte"	"endothelial cell"
"type i pneumocyte"	"epithelial cell"
"alveolar fibroblast"	"stromal cell"
"bronchial smooth muscle cell"	"stromal cell"
"lung microvascular endothelial cell"	"endothelial cell"
"vascular associated smooth muscle cell"	"smooth muscle cell"
"intermediate monocyte"	"monocyte"
"pulmonary ionocyte"	"epithelial cell"
"regulatory t cell"	"t/nk cell"
"cd1c-positive myeloid dendritic cell"	"myeloid cell"
"mature conventional dendritic cell"	"myeloid cell"
"cd8-positive, alpha-beta memory t cell"	"t/nk cell"
"mature nk t cell"	"t/nk cell"
"fibroblast of breast"	"stromal cell"
"luminal epithelial cell of mammary gland"	"epithelial cell"
"endothelial cell of vascular tree"	"endothelial cell"
"skeletal muscle satellite stem cell"	"stromal cell"
"fast muscle cell"	"muscle cell"
"slow muscle cell"	"muscle cell"
"pancreatic beta cell"	"endocrine cell"
"pancreatic pp cell"	"endocrine cell"
"pancreatic alpha cell"	"endocrine cell"
"pancreatic delta cell"	"endocrine cell"
"basal cell of prostate epithelium"	"epithelial cell"
"hillock-club cell of prostate epithelium"	"epithelial cell"
"nkt cell"	"t/nk cell"
"cd8b-positive nk t cell"	"t/nk cell"
"luminal cell of prostate epithelium"	"epithelial cell"
"club cell of prostate epithelium"	"epithelial cell"
"hillock cell of prostate epithelium"	"epithelial cell"
"acinar cell of salivary gland"	"epithelial cell"
"duct epithelial cell"	"epithelial cell"
"cd8-positive, alpha-beta cytotoxic t cell"	"t/nk cell"
"naive thymus-derived cd8-positive, alpha-beta t cell"	"t/nk cell"
"langerhans cell"	"myeloid cell"
"cell of skeletal muscle"	"muscle cell"
"enterocyte of epithelium of small intestine"	"epithelial cell"
"transit amplifying cell of small intestine"	"epithelial cell"
"small intestine goblet cell"	"epithelial cell"
"ilc2"	"t/nk cell"
"pvalb interneuron"	"neuronal cell"
"cnr1 interneuron"	"neuronal cell"
"npy-sst interneuron"	"neuronal cell"
"alveolar epithelial type ii cell"	"epithelial cell"
"sympathetic neuron"	"neuron"
"kidney progenitor cell"	"progenitor cell"
"schwann cell precursor"	"glial cell"
"developing t-cell"	"t/nk cell"
"developing neuron"	"neuron"
"stratified epithelial cell"	"epithelial cell"
"autonomic neuron"	"neuron"
"retinal progenitor cell"	"progenitor cell"
"non-keratinized squamous epithelial cell"	"epithelial cell"
"developing b cell"	"B cell"
"nk/t cells"	"t/nk cell"
"pulmonary ionocytes"	"epithelial cell"
"collecting duct intercalated cells"	"epithelial cell"
"early lymphoid progenitor"	"progenitor cell"
"conventional dendritic cell"	"myeloid cell"
"proliferating myeloid cells"	"myeloid cell"
"proliferating t follicular helper cells"	"t/nk cell"
"innate lymphoid cells type 3"	"t/nk cell"
"atypical memory b cells"	"B cell"
"central vein endothelial cell"	"endothelial cell"
"activated cells"	"activated cell"
"mucosal epithelial cells"	"epithelial cell"
"pluripotent stem cells"	"stem cell"
"epithelial progenitor cells"	"progenitor cell"
"epididymal epithelial cells"	"epithelial cell"
"suprabasal squamous epithelial cells"	"epithelial cell"
"squamous epithelial cells"	"epithelial cell"
"basal squamous epithelial cells"	"epithelial cell"
"granular keratinocyte"	"epithelial cell"
"differentiated squamous epithelial cells"	"epithelial cell"
"fibro-adipogenic progenitor"	"progenitor cell"
"venular endothelial cells"	"endothelial cell"
"retinal pigment epithelium cells"	"epithelial cell"
"non-pigmented ciliary epithelial cells"	"epithelial cell"
"adipose progenitor cells"	"progenitor cell"
"enteric glial cells"	"glial cell"
"intestinal stem cells"	"stem cell"
"klrb1+ t cell"	"t/nk cell"
"naive/central memory t cell"	"t/nk cell"
"conventional dendritic cell 1"	"myeloid cell"
"conventional dendritic cell 2"	"dendritic cell"
"skeletal muscle progenitors"	"muscle cell"
"antigen-presenting cells"	"antigen-presenting cell"
"alveolar type 1 (at1) cells"	"epithelial cell"
"alveolar type 2 (at2) cells"	"epithelial cell"
"club cells (clara cells)"	"epithelial cell"
"distal tubule cell"	"epithelial cell"
"renal interstitial cell"	"stromal cell"
"pericyte/smooth muscle cell"	"stromal cell"
"liver sinusoidal endothelial cells (lsecs)"	"endothelial cell"
"adrenocortical cell"	"endocrine cell"
"intestinal enterocytes"	"epithelial cell"
"kidney epithelial cells"	"epithelial cell"
"prostate luminal epithelial cells"	"epithelial cell"
"kidney proximal tubule cells"	"epithelial cell"
"dermal sheath cells"	"stromal cell"
"spinous keratinocytes"	"epithelial cell"
"sebaceous gland cells"	"epithelial cell"
"arrector pili muscle cells"	"muscle cell"
"tumor-associated macrophages (tams)"	"macrophage"
"cancer-associated fibroblasts (cafs)"	"fibroblast"
"alveolar type ii epithelial cells"	"epithelial cell"
"limbal epithelial stem cell"	"epithelial cell"
"ciliary non-pigmented epithelial cell"	"epithelial cell"
"meibomian gland cells"	"epithelial cell"
"preadipocytes"	"mesenchymal cell"
"proliferating epithelial cells"	"epithelial cell"
"prostate secretory cells"	"epithelial cell"
"transit-amplifying cell"	"epithelial cell"
"cajal-retzius neuron"	"neuron"
"muscle satellite cells"	"muscle cell"
"kidney podocyte"	"epithelial cell"
"lens epithelial cell"	"epithelial cell"
"collecting duct epithelial cell"	"epithelial cell"
"tubular epithelial cell"	"epithelial cell"
"kidney endothelial cell"	"endothelial cell"
"thick ascending limb epithelial cell"	"epithelial cell"
"kidney epithelial cells"	"epithelial cell"
"embryonic stem cells"	"stem cell"
"kidney collecting duct cells"	"epithelial cell"
"pancreatic endocrine cells"	"endocrine cell"
"lung clara cells"	"epithelial cell"
"kidney intercalated cells"	"epithelial cell"
"stomach epithelial cells"	"epithelial cell"
"breast epithelial cell"	"epithelial cell"
"alveolar cell"	"epithelial cell"
"urothelial epithelial cells"	"epithelial cell"
"cardiac fibroblasts"	"stromal cell"
"prostate stromal cell"	"stromal cell"
"inhibitory interneuron"	"neuronal cell"
"pancreatic macrophage"	"immune cell"
"pancreatic exocrine cells"	"exocrine cell"
"retinal photoreceptor cells"	"neuronal cell"
"respiratory/gastrointestinal epithelial cells"	"epithelial cell"
"airway basal cell"	"epithelial cell"
"ciliated airway epithelial cell"	"epithelial cell"
"lung fibroblasts"	"stromal cell"
"lung smooth muscle cells"	"muscle cell"
"pulmonary artery endothelial cells"	"endothelial cell"
"club cells (clara cells)"	"epithelial cell"
"thick ascending limb of loop of henle cell"	"epithelial cell"
"glomerular endothelial cell"	"endothelial cell"
"t cell progenitor"	"t/nk cell"
"bone marrow stromal cell"	"stromal cell"
"t cell blast"	"t/nk cell"
"alveolar type ii pneumocytes"	"epithelial cell"
"dendritic cell (bdca-3+)"	"immune cell"
"cardiac macrophage"	"immune cell"
"microglia/macrophages"	"immune cell"
"steroid-producing cells"	"endocrine cell"
"germ cell"	"germ cell"
"ovarian granulosa cell"	"epithelial cell"
"respiratory epithelial cell"	"epithelial cell"
"endocrine cell"	"endocrine cell"
"salivary gland epithelial cell"	"epithelial cell"
"stromal fibroblast"	"stromal cell"
"prostate basal epithelial cell"	"epithelial cell"
"prostate luminal epithelial cell"	"epithelial cell"
"immune cell (macrophage/b-cell)"	"immune cell"
"immune cell (t-cell/nk-cell)"	"immune cell"
"immune cell (t-cell)"	"t/nk cell"
"cardiac adipocytes"	"adipocyte"
"cardiac macrophages"	"immune cell"
"clara cells (club cells)"	"epithelial cell"
"myocytes (muscle fibers)"	"muscle cell"
"corneocytes"	"epithelial cell"
"colon cancer epithelial cells"	"malignant cell"
"microglia/macrophages"	"immune cell"
"fibroblasts/cancer-associated fibroblasts"	"stromal cell"
"retinal pigment epithelium (rpe) cells"	"epithelial cell"
"corneal endothelial cells"	"epithelial cell"
"limbal epithelial stem cells"	"stem cell"
"ciliary body epithelial cells"	"epithelial cell"
"ciliary body smooth muscle cells"	"muscle cell"
"extraocular muscle cells"	"muscle cell"
"myeloid-derived suppressor cell"	"immune cell"
"fibroblast/stromal cell"	"stromal cell"
"mammary myoepithelial cell"	"epithelial cell"
"exocrine acinar cells"	"epithelial cell"
"marginal zone b cells"	"B cell"
"pp cells"	"endocrine cell"
"g cells"	"endocrine cell"
"prostate luminal epithelial cell"	"epithelial cell"
"epithelial progenitor cell"	"epithelial cell"
"cd8+ cytotoxic t cells"	"t/nk cell"
"fetal lung alveolar type ii cell"	"epithelial cell"
"skeletal muscle progenitor"	"muscle cell"
"skeletal muscle myoblasts"	"muscle cell"
"t-cell progenitors"	"t/nk cell"
"epidermal cells"	"epithelial cell"
"fetal hepatocytes"	"epithelial cell"
"cervical epithelial cells"	"epithelial cell"
"airway basal epithelial cell"	"epithelial cell"
"alveolar type 2 cells"	"epithelial cell"
"alveolar macrophages"	"immune cell"
"hematopoietic progenitor"	"hematopoietic cell"
"germinal center b cell"	"b cell"
"airway basal cell"	"epithelial cell"
"luminal prostate cell"	"epithelial cell"
"prostatic stromal cell"	"stromal cell"
"skeletal muscle myocyte"	"muscle cell"
"luminal cells"	"epithelial cell"
"esophageal basal cells"	"epithelial cell"
"esophageal squamous epithelial cells"	"epithelial cell"
"retinal progenitor cells"	"progenitor cell"
"endocardial cells"	"endothelial cell"
"cardiac macrophages"	"immune cell"
"myeloid dendritic cell"	"immune cell"
"luminal secretory cell"	"epithelial cell"
